Age,Column (decade year) 2,Country,Country (max female),Country Code,Country highlight,Country: OECD Avg ,Country: other than OECD Avg,Decades only : T|F,Effective labour market exit age (bins),Every 5 years T|F,Gender,Gender filter,Measure1,OECD Average highlight,OECD Average highlight (female),OECD Average highlight (male),OECD Member: T|F,Ref Area,Reference area,Region (group),Row (decade year) 2,Sex,UPPER Country,UPPER(Gender),Year,Year (2 figures),Year (each 5 years),Year Int,Age | Years,Country name value,Effective labour market exit age,Effective labour market exit age (female),Effective labour market exit age (male),Effective labour market exit age (tooltip),Exit age - Female outliers max,Obs Value
Not applicable,1,Japan,Japan,JPN,False,,Japan,True,64,True,Female,True,Effective labour market exit age,False,False,False,OECD member,JPN,Japan,East Asia,1,Female,JAPAN,FEMALE,01-01-1972,'72,1972,1972,64.4,,64.4,64.4,,64.4,,64.4
Not applicable,1,Korea,Korea,KOR,False,,Korea,True,62,True,Female,True,Effective labour market exit age,False,False,False,OECD member,KOR,Korea,East Asia,1,Female,KOREA,FEMALE,01-01-1972,'72,1972,1972,62.0,,62.0,62.0,,62.0,62,62.0
Not applicable,1,Luxembourg,Luxembourg,LUX,False,,Luxembourg,True,61,True,Female,True,Effective labour market exit age,False,False,False,OECD member,LUX,Luxembourg,Europe & Middle East,1,Female,LUXEMBOURG,FEMALE,01-01-1972,'72,1972,1972,61.6,,61.6,61.6,,61.6,,61.6
Not applicable,1,Mexico,Mexico,MEX,True,,Mexico,True,78,True,Female,True,Effective labour market exit age,False,False,False,OECD member,MEX,Mexico,Latin America,1,Female,MEXICO,FEMALE,01-01-1972,'72,1972,1972,78.3,,78.3,78.3,,78.3,78.3,78.3
Not applicable,1,Netherlands,Netherlands,NLD,False,,Netherlands,True,64,True,Female,True,Effective labour market exit age,False,False,False,OECD member,NLD,Netherlands,Europe & Middle East,1,Female,NETHERLANDS,FEMALE,01-01-1972,'72,1972,1972,64.9,,64.9,64.9,,64.9,,64.9
Not applicable,1,Norway,Norway,NOR,False,,Norway,True,67,True,Female,True,Effective labour market exit age,False,False,False,OECD member,NOR,Norway,Europe & Middle East,1,Female,NORWAY,FEMALE,01-01-1972,'72,1972,1972,67.8,,67.8,67.8,,67.8,,67.8
Not applicable,1,New Zealand,New Zealand,NZL,False,,New Zealand,True,66,True,Female,True,Effective labour market exit age,False,False,False,OECD member,NZL,New Zealand,Oceania,1,Female,NEW ZEALAND,FEMALE,01-01-1972,'72,1972,1972,66.6,,66.6,66.6,,66.6,,66.6
Not applicable,1,OECD average,OECD average,OECD_REP,False,OECD average,,True,64,True,Female,True,Effective labour market exit age,True,True,True,OECD member,OECD_REP,OECD average country,OECD average,1,Female,OECD AVERAGE COUNTRY,FEMALE,01-01-1972,'72,1972,1972,64.5,,64.5,64.5,,64.5,,64.5
Not applicable,1,Poland,Poland,POL,False,,Poland,True,66,True,Female,True,Effective labour market exit age,False,False,False,OECD member,POL,Poland,Europe & Middle East,1,Female,POLAND,FEMALE,01-01-1972,'72,1972,1972,66.6,,66.6,66.6,,66.6,,66.6
Not applicable,1,Portugal,Portugal,PRT,False,,Portugal,True,67,True,Female,True,Effective labour market exit age,False,False,False,OECD member,PRT,Portugal,Europe & Middle East,1,Female,PORTUGAL,FEMALE,01-01-1972,'72,1972,1972,67.7,,67.7,67.7,,67.7,,67.7
Not applicable,1,Slovak Republic,Slovak Republic,SVK,False,,Slovak Republic,True,59,True,Female,True,Effective labour market exit age,False,False,False,OECD member,SVK,Slovak Republic,Europe & Middle East,1,Female,SLOVAK REPUBLIC,FEMALE,01-01-1972,'72,1972,1972,59.2,,59.2,59.2,,59.2,,59.2
Not applicable,1,Slovenia,Slovenia,SVN,False,,Slovenia,True,61,True,Female,True,Effective labour market exit age,False,False,False,OECD member,SVN,Slovenia,Europe & Middle East,1,Female,SLOVENIA,FEMALE,01-01-1972,'72,1972,1972,61.7,,61.7,61.7,,61.7,,61.7
Not applicable,1,Sweden,Sweden,SWE,False,,Sweden,True,64,True,Female,True,Effective labour market exit age,False,False,False,OECD member,SWE,Sweden,Europe & Middle East,1,Female,SWEDEN,FEMALE,01-01-1972,'72,1972,1972,64.3,,64.3,64.3,,64.3,,64.3
Not applicable,1,Türkiye,Türkiye,TUR,False,,Türkiye,True,56,True,Female,True,Effective labour market exit age,False,False,False,OECD member,TUR,Türkiye,Europe & Middle East,1,Female,TÜRKIYE,FEMALE,01-01-1972,'72,1972,1972,56.6,,56.6,56.6,,56.6,,56.6
Not applicable,1,United States,United States,USA,False,,United States,True,64,True,Female,True,Effective labour market exit age,False,False,False,OECD member,USA,United States,N. America,1,Female,UNITED STATES,FEMALE,01-01-1972,'72,1972,1972,64.6,,64.6,64.6,,64.6,,64.6
Not applicable,2,Australia,Australia,AUS,False,,Australia,False,62,False,Female,True,Effective labour market exit age,False,False,False,OECD member,AUS,Australia,Oceania,2,Female,AUSTRALIA,FEMALE,01-01-1973,'73,,1973,62.4,,62.4,62.4,,62.4,,62.4
Not applicable,2,Belgium,Belgium,BEL,False,,Belgium,False,61,False,Female,True,Effective labour market exit age,False,False,False,OECD member,BEL,Belgium,Europe & Middle East,2,Female,BELGIUM,FEMALE,01-01-1973,'73,,1973,61.3,,61.3,61.3,,61.3,,61.3
Not applicable,2,Canada,Canada,CAN,False,,Canada,False,64,False,Female,True,Effective labour market exit age,False,False,False,OECD member,CAN,Canada,N. America,2,Female,CANADA,FEMALE,01-01-1973,'73,,1973,64.6,,64.6,64.6,,64.6,,64.6
Not applicable,2,Switzerland,Switzerland,CHE,False,,Switzerland,False,67,False,Female,True,Effective labour market exit age,False,False,False,OECD member,CHE,Switzerland,Europe & Middle East,2,Female,SWITZERLAND,FEMALE,01-01-1973,'73,,1973,67.2,,67.2,67.2,,67.2,,67.2
Not applicable,2,Chile,Chile,CHL,False,,Chile,False,63,False,Female,True,Effective labour market exit age,False,False,False,OECD member,CHL,Chile,Latin America,2,Female,CHILE,FEMALE,01-01-1973,'73,,1973,63.7,,63.7,63.7,,63.7,,63.7
Not applicable,2,Czechia,Czechia,CZE,False,,Czechia,False,59,False,Female,True,Effective labour market exit age,False,False,False,OECD member,CZE,Czechia,Europe & Middle East,2,Female,CZECHIA,FEMALE,01-01-1973,'73,,1973,59.1,,59.1,59.1,,59.1,,59.1
Not applicable,2,Denmark,Denmark,DNK,False,,Denmark,False,64,False,Female,True,Effective labour market exit age,False,False,False,OECD member,DNK,Denmark,Europe & Middle East,2,Female,DENMARK,FEMALE,01-01-1973,'73,,1973,64.0,,64.0,64.0,,64.0,,64.0
Not applicable,2,Spain,Spain,ESP,False,,Spain,False,72,False,Female,True,Effective labour market exit age,False,False,False,OECD member,ESP,Spain,Europe & Middle East,2,Female,SPAIN,FEMALE,01-01-1973,'73,,1973,72.7,,72.7,72.7,,72.7,,72.7
Not applicable,2,Estonia,Estonia,EST,False,,Estonia,False,60,False,Female,True,Effective labour market exit age,False,False,False,OECD member,EST,Estonia,Europe & Middle East,2,Female,ESTONIA,FEMALE,01-01-1973,'73,,1973,60.3,,60.3,60.3,,60.3,,60.3
Not applicable,2,Finland,Finland,FIN,False,,Finland,False,61,False,Female,True,Effective labour market exit age,False,False,False,OECD member,FIN,Finland,Europe & Middle East,2,Female,FINLAND,FEMALE,01-01-1973,'73,,1973,61.6,,61.6,61.6,,61.6,,61.6
Not applicable,2,France,France,FRA,False,,France,False,64,False,Female,True,Effective labour market exit age,False,False,False,OECD member,FRA,France,Europe & Middle East,2,Female,FRANCE,FEMALE,01-01-1973,'73,,1973,64.4,,64.4,64.4,,64.4,,64.4
Not applicable,2,United Kingdom,United Kingdom,GBR,False,,United Kingdom,False,63,False,Female,True,Effective labour market exit age,False,False,False,OECD member,GBR,United Kingdom,Europe & Middle East,2,Female,UNITED KINGDOM,FEMALE,01-01-1973,'73,,1973,63.8,,63.8,63.8,,63.8,,63.8
Not applicable,2,Greece,Greece,GRC,False,,Greece,False,61,False,Female,True,Effective labour market exit age,False,False,False,OECD member,GRC,Greece,Europe & Middle East,2,Female,GREECE,FEMALE,01-01-1973,'73,,1973,61.8,,61.8,61.8,,61.8,,61.8
Not applicable,2,Hungary,Hungary,HUN,False,,Hungary,False,62,False,Female,True,Effective labour market exit age,False,False,False,OECD member,HUN,Hungary,Europe & Middle East,2,Female,HUNGARY,FEMALE,01-01-1973,'73,,1973,62.9,,62.9,62.9,,62.9,,62.9
Not applicable,2,Ireland,Ireland,IRL,False,,Ireland,False,71,False,Female,True,Effective labour market exit age,False,False,False,OECD member,IRL,Ireland,Europe & Middle East,2,Female,IRELAND,FEMALE,01-01-1973,'73,,1973,71.2,,71.2,71.2,,71.2,,71.2
Not applicable,2,Iceland,Iceland,ISL,False,,Iceland,False,69,False,Female,True,Effective labour market exit age,False,False,False,OECD member,ISL,Iceland,Europe & Middle East,2,Female,ICELAND,FEMALE,01-01-1973,'73,,1973,69.3,,69.3,69.3,,69.3,,69.3
Not applicable,2,Italy,Italy,ITA,False,,Italy,False,59,False,Female,True,Effective labour market exit age,False,False,False,OECD member,ITA,Italy,Europe & Middle East,2,Female,ITALY,FEMALE,01-01-1973,'73,,1973,59.5,,59.5,59.5,,59.5,,59.5
Not applicable,2,Japan,Japan,JPN,False,,Japan,False,64,False,Female,True,Effective labour market exit age,False,False,False,OECD member,JPN,Japan,East Asia,2,Female,JAPAN,FEMALE,01-01-1973,'73,,1973,64.0,,64.0,64.0,,64.0,,64.0
Not applicable,2,Korea,Korea,KOR,False,,Korea,False,63,False,Female,True,Effective labour market exit age,False,False,False,OECD member,KOR,Korea,East Asia,2,Female,KOREA,FEMALE,01-01-1973,'73,,1973,63.5,,63.5,63.5,,63.5,63.5,63.5
Not applicable,2,Luxembourg,Luxembourg,LUX,False,,Luxembourg,False,62,False,Female,True,Effective labour market exit age,False,False,False,OECD member,LUX,Luxembourg,Europe & Middle East,2,Female,LUXEMBOURG,FEMALE,01-01-1973,'73,,1973,62.4,,62.4,62.4,,62.4,,62.4
Not applicable,2,Mexico,Mexico,MEX,True,,Mexico,False,78,False,Female,True,Effective labour market exit age,False,False,False,OECD member,MEX,Mexico,Latin America,2,Female,MEXICO,FEMALE,01-01-1973,'73,,1973,78.0,,78.0,78.0,,78.0,78,78.0
Not applicable,2,Netherlands,Netherlands,NLD,False,,Netherlands,False,64,False,Female,True,Effective labour market exit age,False,False,False,OECD member,NLD,Netherlands,Europe & Middle East,2,Female,NETHERLANDS,FEMALE,01-01-1973,'73,,1973,64.7,,64.7,64.7,,64.7,,64.7
Not applicable,2,Norway,Norway,NOR,False,,Norway,False,66,False,Female,True,Effective labour market exit age,False,False,False,OECD member,NOR,Norway,Europe & Middle East,2,Female,NORWAY,FEMALE,01-01-1973,'73,,1973,66.6,,66.6,66.6,,66.6,,66.6
Not applicable,2,New Zealand,New Zealand,NZL,False,,New Zealand,False,66,False,Female,True,Effective labour market exit age,False,False,False,OECD member,NZL,New Zealand,Oceania,2,Female,NEW ZEALAND,FEMALE,01-01-1973,'73,,1973,66.1,,66.1,66.1,,66.1,,66.1
Not applicable,2,OECD average,OECD average,OECD_REP,False,OECD average,,False,64,False,Female,True,Effective labour market exit age,True,True,True,OECD member,OECD_REP,OECD average country,OECD average,2,Female,OECD AVERAGE COUNTRY,FEMALE,01-01-1973,'73,,1973,64.3,,64.3,64.3,,64.3,,64.3
Not applicable,2,Poland,Poland,POL,False,,Poland,False,65,False,Female,True,Effective labour market exit age,False,False,False,OECD member,POL,Poland,Europe & Middle East,2,Female,POLAND,FEMALE,01-01-1973,'73,,1973,65.9,,65.9,65.9,,65.9,,65.9
Not applicable,2,Portugal,Portugal,PRT,False,,Portugal,False,67,False,Female,True,Effective labour market exit age,False,False,False,OECD member,PRT,Portugal,Europe & Middle East,2,Female,PORTUGAL,FEMALE,01-01-1973,'73,,1973,67.2,,67.2,67.2,,67.2,,67.2
Not applicable,2,Slovak Republic,Slovak Republic,SVK,False,,Slovak Republic,False,59,False,Female,True,Effective labour market exit age,False,False,False,OECD member,SVK,Slovak Republic,Europe & Middle East,2,Female,SLOVAK REPUBLIC,FEMALE,01-01-1973,'73,,1973,59.1,,59.1,59.1,,59.1,,59.1
Not applicable,2,Slovenia,Slovenia,SVN,False,,Slovenia,False,61,False,Female,True,Effective labour market exit age,False,False,False,OECD member,SVN,Slovenia,Europe & Middle East,2,Female,SLOVENIA,FEMALE,01-01-1973,'73,,1973,61.3,,61.3,61.3,,61.3,,61.3
Not applicable,2,Sweden,Sweden,SWE,False,,Sweden,False,64,False,Female,True,Effective labour market exit age,False,False,False,OECD member,SWE,Sweden,Europe & Middle East,2,Female,SWEDEN,FEMALE,01-01-1973,'73,,1973,64.5,,64.5,64.5,,64.5,,64.5
Not applicable,2,Türkiye,Türkiye,TUR,False,,Türkiye,False,57,False,Female,True,Effective labour market exit age,False,False,False,OECD member,TUR,Türkiye,Europe & Middle East,2,Female,TÜRKIYE,FEMALE,01-01-1973,'73,,1973,57.3,,57.3,57.3,,57.3,,57.3
Not applicable,2,United States,United States,USA,False,,United States,False,64,False,Female,True,Effective labour market exit age,False,False,False,OECD member,USA,United States,N. America,2,Female,UNITED STATES,FEMALE,01-01-1973,'73,,1973,64.5,,64.5,64.5,,64.5,,64.5
Not applicable,2,Australia,Australia,AUS,False,,Australia,False,62,False,Female,True,Effective labour market exit age,False,False,False,OECD member,AUS,Australia,Oceania,2,Female,AUSTRALIA,FEMALE,01-01-1974,'74,,1974,62.2,,62.2,62.2,,62.2,,62.2
Not applicable,2,Belgium,Belgium,BEL,False,,Belgium,False,61,False,Female,True,Effective labour market exit age,False,False,False,OECD member,BEL,Belgium,Europe & Middle East,2,Female,BELGIUM,FEMALE,01-01-1974,'74,,1974,61.3,,61.3,61.3,,61.3,,61.3
Not applicable,2,Canada,Canada,CAN,False,,Canada,False,64,False,Female,True,Effective labour market exit age,False,False,False,OECD member,CAN,Canada,N. America,2,Female,CANADA,FEMALE,01-01-1974,'74,,1974,64.2,,64.2,64.2,,64.2,,64.2
Not applicable,2,Switzerland,Switzerland,CHE,False,,Switzerland,False,66,False,Female,True,Effective labour market exit age,False,False,False,OECD member,CHE,Switzerland,Europe & Middle East,2,Female,SWITZERLAND,FEMALE,01-01-1974,'74,,1974,66.6,,66.6,66.6,,66.6,,66.6
Not applicable,2,Chile,Chile,CHL,False,,Chile,False,64,False,Female,True,Effective labour market exit age,False,False,False,OECD member,CHL,Chile,Latin America,2,Female,CHILE,FEMALE,01-01-1974,'74,,1974,64.6,,64.6,64.6,,64.6,,64.6
Not applicable,2,Czechia,Czechia,CZE,False,,Czechia,False,58,False,Female,True,Effective labour market exit age,False,False,False,OECD member,CZE,Czechia,Europe & Middle East,2,Female,CZECHIA,FEMALE,01-01-1974,'74,,1974,58.7,,58.7,58.7,,58.7,,58.7
Not applicable,2,Denmark,Denmark,DNK,False,,Denmark,False,63,False,Female,True,Effective labour market exit age,False,False,False,OECD member,DNK,Denmark,Europe & Middle East,2,Female,DENMARK,FEMALE,01-01-1974,'74,,1974,63.9,,63.9,63.9,,63.9,,63.9
Not applicable,2,Spain,Spain,ESP,False,,Spain,False,70,False,Female,True,Effective labour market exit age,False,False,False,OECD member,ESP,Spain,Europe & Middle East,2,Female,SPAIN,FEMALE,01-01-1974,'74,,1974,70.4,,70.4,70.4,,70.4,,70.4
Not applicable,2,Estonia,Estonia,EST,False,,Estonia,False,59,False,Female,True,Effective labour market exit age,False,False,False,OECD member,EST,Estonia,Europe & Middle East,2,Female,ESTONIA,FEMALE,01-01-1974,'74,,1974,59.6,,59.6,59.6,,59.6,,59.6
Not applicable,2,Finland,Finland,FIN,False,,Finland,False,62,False,Female,True,Effective labour market exit age,False,False,False,OECD member,FIN,Finland,Europe & Middle East,2,Female,FINLAND,FEMALE,01-01-1974,'74,,1974,62.2,,62.2,62.2,,62.2,,62.2
Not applicable,2,France,France,FRA,False,,France,False,64,False,Female,True,Effective labour market exit age,False,False,False,OECD member,FRA,France,Europe & Middle East,2,Female,FRANCE,FEMALE,01-01-1974,'74,,1974,64.5,,64.5,64.5,,64.5,,64.5
Not applicable,2,United Kingdom,United Kingdom,GBR,False,,United Kingdom,False,64,False,Female,True,Effective labour market exit age,False,False,False,OECD member,GBR,United Kingdom,Europe & Middle East,2,Female,UNITED KINGDOM,FEMALE,01-01-1974,'74,,1974,64.0,,64.0,64.0,,64.0,,64.0
Not applicable,2,Greece,Greece,GRC,False,,Greece,False,61,False,Female,True,Effective labour market exit age,False,False,False,OECD member,GRC,Greece,Europe & Middle East,2,Female,GREECE,FEMALE,01-01-1974,'74,,1974,61.8,,61.8,61.8,,61.8,,61.8
Not applicable,2,Hungary,Hungary,HUN,False,,Hungary,False,62,False,Female,True,Effective labour market exit age,False,False,False,OECD member,HUN,Hungary,Europe & Middle East,2,Female,HUNGARY,FEMALE,01-01-1974,'74,,1974,62.1,,62.1,62.1,,62.1,,62.1
Not applicable,2,Ireland,Ireland,IRL,False,,Ireland,False,70,False,Female,True,Effective labour market exit age,False,False,False,OECD member,IRL,Ireland,Europe & Middle East,2,Female,IRELAND,FEMALE,01-01-1974,'74,,1974,70.9,,70.9,70.9,,70.9,,70.9
Not applicable,2,Iceland,Iceland,ISL,False,,Iceland,False,69,False,Female,True,Effective labour market exit age,False,False,False,OECD member,ISL,Iceland,Europe & Middle East,2,Female,ICELAND,FEMALE,01-01-1974,'74,,1974,69.2,,69.2,69.2,,69.2,,69.2
Not applicable,2,Italy,Italy,ITA,False,,Italy,False,59,False,Female,True,Effective labour market exit age,False,False,False,OECD member,ITA,Italy,Europe & Middle East,2,Female,ITALY,FEMALE,01-01-1974,'74,,1974,59.5,,59.5,59.5,,59.5,,59.5
Not applicable,2,Japan,Japan,JPN,False,,Japan,False,63,False,Female,True,Effective labour market exit age,False,False,False,OECD member,JPN,Japan,East Asia,2,Female,JAPAN,FEMALE,01-01-1974,'74,,1974,63.6,,63.6,63.6,,63.6,,63.6
Not applicable,2,Korea,Korea,KOR,False,,Korea,False,64,False,Female,True,Effective labour market exit age,False,False,False,OECD member,KOR,Korea,East Asia,2,Female,KOREA,FEMALE,01-01-1974,'74,,1974,64.0,,64.0,64.0,,64.0,64,64.0
Not applicable,2,Luxembourg,Luxembourg,LUX,False,,Luxembourg,False,62,False,Female,True,Effective labour market exit age,False,False,False,OECD member,LUX,Luxembourg,Europe & Middle East,2,Female,LUXEMBOURG,FEMALE,01-01-1974,'74,,1974,62.8,,62.8,62.8,,62.8,,62.8
Not applicable,2,Mexico,Mexico,MEX,True,,Mexico,False,77,False,Female,True,Effective labour market exit age,False,False,False,OECD member,MEX,Mexico,Latin America,2,Female,MEXICO,FEMALE,01-01-1974,'74,,1974,77.7,,77.7,77.7,,77.7,77.7,77.7
Not applicable,2,Netherlands,Netherlands,NLD,False,,Netherlands,False,64,False,Female,True,Effective labour market exit age,False,False,False,OECD member,NLD,Netherlands,Europe & Middle East,2,Female,NETHERLANDS,FEMALE,01-01-1974,'74,,1974,64.4,,64.4,64.4,,64.4,,64.4
Not applicable,2,Norway,Norway,NOR,False,,Norway,False,66,False,Female,True,Effective labour market exit age,False,False,False,OECD member,NOR,Norway,Europe & Middle East,2,Female,NORWAY,FEMALE,01-01-1974,'74,,1974,66.5,,66.5,66.5,,66.5,,66.5
Not applicable,2,New Zealand,New Zealand,NZL,False,,New Zealand,False,65,False,Female,True,Effective labour market exit age,False,False,False,OECD member,NZL,New Zealand,Oceania,2,Female,NEW ZEALAND,FEMALE,01-01-1974,'74,,1974,65.6,,65.6,65.6,,65.6,,65.6
Not applicable,2,OECD average,OECD average,OECD_REP,False,OECD average,,False,64,False,Female,True,Effective labour market exit age,True,True,True,OECD member,OECD_REP,OECD average country,OECD average,2,Female,OECD AVERAGE COUNTRY,FEMALE,01-01-1974,'74,,1974,64.2,,64.2,64.2,,64.2,,64.2
Not applicable,2,Poland,Poland,POL,False,,Poland,False,65,False,Female,True,Effective labour market exit age,False,False,False,OECD member,POL,Poland,Europe & Middle East,2,Female,POLAND,FEMALE,01-01-1974,'74,,1974,65.3,,65.3,65.3,,65.3,,65.3
Not applicable,2,Portugal,Portugal,PRT,False,,Portugal,False,66,False,Female,True,Effective labour market exit age,False,False,False,OECD member,PRT,Portugal,Europe & Middle East,2,Female,PORTUGAL,FEMALE,01-01-1974,'74,,1974,66.8,,66.8,66.8,,66.8,,66.8
Not applicable,2,Slovak Republic,Slovak Republic,SVK,False,,Slovak Republic,False,59,False,Female,True,Effective labour market exit age,False,False,False,OECD member,SVK,Slovak Republic,Europe & Middle East,2,Female,SLOVAK REPUBLIC,FEMALE,01-01-1974,'74,,1974,59.0,,59.0,59.0,,59.0,,59.0
Not applicable,2,Slovenia,Slovenia,SVN,False,,Slovenia,False,61,False,Female,True,Effective labour market exit age,False,False,False,OECD member,SVN,Slovenia,Europe & Middle East,2,Female,SLOVENIA,FEMALE,01-01-1974,'74,,1974,61.0,,61.0,61.0,,61.0,,61.0
Not applicable,2,Sweden,Sweden,SWE,False,,Sweden,False,65,False,Female,True,Effective labour market exit age,False,False,False,OECD member,SWE,Sweden,Europe & Middle East,2,Female,SWEDEN,FEMALE,01-01-1974,'74,,1974,65.0,,65.0,65.0,,65.0,,65.0
Not applicable,2,Türkiye,Türkiye,TUR,False,,Türkiye,False,58,False,Female,True,Effective labour market exit age,False,False,False,OECD member,TUR,Türkiye,Europe & Middle East,2,Female,TÜRKIYE,FEMALE,01-01-1974,'74,,1974,58.1,,58.1,58.1,,58.1,,58.1
Not applicable,2,United States,United States,USA,False,,United States,False,64,False,Female,True,Effective labour market exit age,False,False,False,OECD member,USA,United States,N. America,2,Female,UNITED STATES,FEMALE,01-01-1974,'74,,1974,64.2,,64.2,64.2,,64.2,,64.2
Not applicable,2,Australia,Australia,AUS,False,,Australia,False,60,False,Female,True,Effective labour market exit age,False,False,False,OECD member,AUS,Australia,Oceania,2,Female,AUSTRALIA,FEMALE,01-01-1975,'75,,1975,60.6,,60.6,60.6,,60.6,,60.6
Not applicable,2,Belgium,Belgium,BEL,False,,Belgium,False,61,False,Female,True,Effective labour market exit age,False,False,False,OECD member,BEL,Belgium,Europe & Middle East,2,Female,BELGIUM,FEMALE,01-01-1975,'75,,1975,61.2,,61.2,61.2,,61.2,,61.2
Not applicable,2,Canada,Canada,CAN,False,,Canada,False,63,False,Female,True,Effective labour market exit age,False,False,False,OECD member,CAN,Canada,N. America,2,Female,CANADA,FEMALE,01-01-1975,'75,,1975,63.9,,63.9,63.9,,63.9,,63.9
