Age,Country,Country (group),Country Code,Gender,Measure1,OECD Member: T|F,Ref Area,Reference area,Sex,UPPER(Gender),Year,Year Int,Age | Years,Effective labour market exit age,Obs Value
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1992,1992,15.6,,15.6
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1991,1991,15.5,,15.5
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1990,1990,15.4,,15.4
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1989,1989,15.5,,15.5
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1988,1988,15.0,,15.0
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1987,1987,15.0,,15.0
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1986,1986,14.9,,14.9
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1985,1985,14.7,,14.7
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-2019,2019,19.6,,19.6
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-2004,2004,17.5,,17.5
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-2003,2003,17.1,,17.1
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-2002,2002,16.9,,16.9
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-2001,2001,16.9,,16.9
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-2000,2000,16.7,,16.7
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1999,1999,16.5,,16.5
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1998,1998,16.4,,16.4
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1997,1997,16.3,,16.3
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1996,1996,16.1,,16.1
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1970,1970,14.3,,14.3
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1975,1975,14.1,,14.1
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1974,1974,14.1,,14.1
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1973,1973,14.0,,14.0
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1972,1972,14.1,,14.1
65 years,Sweden,Europe,SWE,Male,Life expectancy,OECD member,SWE,Sweden,Male,MALE,01-01-1971,1971,14.1,,14.1
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-1970,1970,16.0,,16.0
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-1993,1993,17.8,,17.8
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-1994,1994,18.3,,18.3
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-2020,2020,20.6,,20.6
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-2019,2019,21.4,,21.4
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-2018,2018,21.0,,21.0
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-2006,2006,19.9,,19.9
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-2005,2005,19.6,,19.6
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-2004,2004,19.5,,19.5
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-2003,2003,19.1,,19.1
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-2002,2002,19.1,,19.1
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-2001,2001,19.1,,19.1
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-2000,2000,18.9,,18.9
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-1999,1999,18.6,,18.6
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-1998,1998,18.5,,18.5
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-1995,1995,18.2,,18.2
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-1992,1992,18.0,,18.0
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-1991,1991,17.8,,17.8
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-1990,1990,17.9,,17.9
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-1989,1989,17.5,,17.5
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-1988,1988,17.6,,17.6
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-1987,1987,17.6,,17.6
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-1986,1986,17.3,,17.3
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-1985,1985,17.1,,17.1
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-1984,1984,17.4,,17.4
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-1983,1983,17.1,,17.1
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-2017,2017,21.0,,21.0
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-2016,2016,21.0,,21.0
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-2015,2015,20.8,,20.8
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-2014,2014,21.1,,21.1
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-2013,2013,20.8,,20.8
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-2010,2010,20.6,,20.6
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-2009,2009,20.5,,20.5
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-2008,2008,20.1,,20.1
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-2007,2007,20.0,,20.0
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-1997,1997,18.4,,18.4
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-1996,1996,18.2,,18.2
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-1982,1982,17.0,,17.0
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-1981,1981,16.9,,16.9
65 years,United Kingdom,Europe,GBR,Female,Life expectancy,OECD member,GBR,United Kingdom,Female,FEMALE,01-01-1980,1980,16.8,,16.8
65 years,Australia,Other,AUS,Female,Life expectancy,OECD member,AUS,Australia,Female,FEMALE,01-01-1970,1970,15.6,,15.6
65 years,Austria,Europe,AUT,Female,Life expectancy,OECD member,AUT,Austria,Female,FEMALE,01-01-1970,1970,14.9,,14.9
65 years,Belgium,Europe,BEL,Female,Life expectancy,OECD member,BEL,Belgium,Female,FEMALE,01-01-1970,1970,15.4,,15.4
65 years,Switzerland,Europe,CHE,Female,Life expectancy,OECD member,CHE,Switzerland,Female,FEMALE,01-01-1970,1970,16.3,,16.3
65 years,Czechia,Europe,CZE,Female,Life expectancy,OECD member,CZE,Czechia,Female,FEMALE,01-01-1970,1970,14.3,,14.3
65 years,Germany,Europe,DEU,Female,Life expectancy,OECD member,DEU,Germany,Female,FEMALE,01-01-1970,1970,14.9,,14.9
65 years,Denmark,Europe,DNK,Female,Life expectancy,OECD member,DNK,Denmark,Female,FEMALE,01-01-1970,1970,16.7,,16.7
65 years,Spain,Europe,ESP,Female,Life expectancy,OECD member,ESP,Spain,Female,FEMALE,01-01-1970,1970,16.0,,16.0
65 years,Estonia,Europe,EST,Female,Life expectancy,OECD member,EST,Estonia,Female,FEMALE,01-01-1970,1970,15.5,,15.5
65 years,France,Europe,FRA,Female,Life expectancy,OECD member,FRA,France,Female,FEMALE,01-01-1970,1970,16.8,,16.8
65 years,Greece,Europe,GRC,Female,Life expectancy,OECD member,GRC,Greece,Female,FEMALE,01-01-1970,1970,16.9,,16.9
65 years,Hungary,Europe,HUN,Female,Life expectancy,OECD member,HUN,Hungary,Female,FEMALE,01-01-1970,1970,14.4,,14.4
65 years,Ireland,Europe,IRL,Female,Life expectancy,OECD member,IRL,Ireland,Female,FEMALE,01-01-1970,1970,15.0,,15.0
65 years,Iceland,Europe,ISL,Female,Life expectancy,OECD member,ISL,Iceland,Female,FEMALE,01-01-1970,1970,16.8,,16.8
65 years,Japan,Other,JPN,Female,Life expectancy,OECD member,JPN,Japan,Female,FEMALE,01-01-1970,1970,15.3,,15.3
65 years,Korea,Other,KOR,Female,Life expectancy,OECD member,KOR,Korea,Female,FEMALE,01-01-1970,1970,14.9,,14.9
65 years,Lithuania,Europe,LTU,Female,Life expectancy,OECD member,LTU,Lithuania,Female,FEMALE,01-01-1970,1970,16.4,,16.4
65 years,Luxembourg,Europe,LUX,Female,Life expectancy,OECD member,LUX,Luxembourg,Female,FEMALE,01-01-1970,1970,15.1,,15.1
65 years,Mexico,Other,MEX,Female,Life expectancy,OECD member,MEX,Mexico,Female,FEMALE,01-01-1970,1970,15.6,,15.6
65 years,Netherlands,Europe,NLD,Female,Life expectancy,OECD member,NLD,Netherlands,Female,FEMALE,01-01-1970,1970,16.1,,16.1
65 years,Norway,Europe,NOR,Female,Life expectancy,OECD member,NOR,Norway,Female,FEMALE,01-01-1970,1970,16.8,,16.8
65 years,New Zealand,Other,NZL,Female,Life expectancy,OECD member,NZL,New Zealand,Female,FEMALE,01-01-1970,1970,15.9,,15.9
65 years,Poland,Europe,POL,Female,Life expectancy,OECD member,POL,Poland,Female,FEMALE,01-01-1970,1970,15.3,,15.3
65 years,Portugal,Europe,PRT,Female,Life expectancy,OECD member,PRT,Portugal,Female,FEMALE,01-01-1970,1970,14.6,,14.6
65 years,Slovak Republic,Europe,SVK,Female,Life expectancy,OECD member,SVK,Slovak Republic,Female,FEMALE,01-01-1970,1970,14.6,,14.6
65 years,Sweden,Europe,SWE,Female,Life expectancy,OECD member,SWE,Sweden,Female,FEMALE,01-01-1970,1970,17.1,,17.1
65 years,Türkiye,Europe,TUR,Female,Life expectancy,OECD member,TUR,Türkiye,Female,FEMALE,01-01-1970,1970,12.6,,12.6
65 years,United States,Other,USA,Female,Life expectancy,OECD member,USA,United States,Female,FEMALE,01-01-1970,1970,17.0,,17.0
65 years,Australia,Other,AUS,Female,Life expectancy,OECD member,AUS,Australia,Female,FEMALE,01-01-1971,1971,16.1,,16.1
65 years,Austria,Europe,AUT,Female,Life expectancy,OECD member,AUT,Austria,Female,FEMALE,01-01-1971,1971,15.1,,15.1
65 years,Belgium,Europe,BEL,Female,Life expectancy,OECD member,BEL,Belgium,Female,FEMALE,01-01-1971,1971,15.4,,15.4
65 years,Canada,Other,CAN,Female,Life expectancy,OECD member,CAN,Canada,Female,FEMALE,01-01-1971,1971,17.5,,17.5
65 years,Switzerland,Europe,CHE,Female,Life expectancy,OECD member,CHE,Switzerland,Female,FEMALE,01-01-1971,1971,16.4,,16.4
65 years,Czechia,Europe,CZE,Female,Life expectancy,OECD member,CZE,Czechia,Female,FEMALE,01-01-1971,1971,14.4,,14.4
65 years,Germany,Europe,DEU,Female,Life expectancy,OECD member,DEU,Germany,Female,FEMALE,01-01-1971,1971,15.1,,15.1
65 years,Denmark,Europe,DNK,Female,Life expectancy,OECD member,DNK,Denmark,Female,FEMALE,01-01-1971,1971,16.7,,16.7
65 years,Estonia,Europe,EST,Female,Life expectancy,OECD member,EST,Estonia,Female,FEMALE,01-01-1971,1971,15.7,,15.7
65 years,Finland,Europe,FIN,Female,Life expectancy,OECD member,FIN,Finland,Female,FEMALE,01-01-1971,1971,14.4,,14.4
65 years,France,Europe,FRA,Female,Life expectancy,OECD member,FRA,France,Female,FEMALE,01-01-1971,1971,16.8,,16.8
65 years,Greece,Europe,GRC,Female,Life expectancy,OECD member,GRC,Greece,Female,FEMALE,01-01-1971,1971,17.0,,17.0
65 years,Hungary,Europe,HUN,Female,Life expectancy,OECD member,HUN,Hungary,Female,FEMALE,01-01-1971,1971,14.5,,14.5
65 years,Iceland,Europe,ISL,Female,Life expectancy,OECD member,ISL,Iceland,Female,FEMALE,01-01-1971,1971,17.4,,17.4
65 years,Italy,Europe,ITA,Female,Life expectancy,OECD member,ITA,Italy,Female,FEMALE,01-01-1971,1971,16.2,,16.2
65 years,Japan,Other,JPN,Female,Life expectancy,OECD member,JPN,Japan,Female,FEMALE,01-01-1971,1971,16.0,,16.0
65 years,Korea,Other,KOR,Female,Life expectancy,OECD member,KOR,Korea,Female,FEMALE,01-01-1971,1971,15.0,,15.0
65 years,Lithuania,Europe,LTU,Female,Life expectancy,OECD member,LTU,Lithuania,Female,FEMALE,01-01-1971,1971,17.0,,17.0
65 years,Luxembourg,Europe,LUX,Female,Life expectancy,OECD member,LUX,Luxembourg,Female,FEMALE,01-01-1971,1971,14.6,,14.6
65 years,Mexico,Other,MEX,Female,Life expectancy,OECD member,MEX,Mexico,Female,FEMALE,01-01-1971,1971,16.0,,16.0
65 years,Netherlands,Europe,NLD,Female,Life expectancy,OECD member,NLD,Netherlands,Female,FEMALE,01-01-1971,1971,16.2,,16.2
65 years,Norway,Europe,NOR,Female,Life expectancy,OECD member,NOR,Norway,Female,FEMALE,01-01-1971,1971,16.9,,16.9
65 years,New Zealand,Other,NZL,Female,Life expectancy,OECD member,NZL,New Zealand,Female,FEMALE,01-01-1971,1971,15.9,,15.9
65 years,Poland,Europe,POL,Female,Life expectancy,OECD member,POL,Poland,Female,FEMALE,01-01-1971,1971,15.0,,15.0
65 years,Portugal,Europe,PRT,Female,Life expectancy,OECD member,PRT,Portugal,Female,FEMALE,01-01-1971,1971,14.2,,14.2
65 years,Slovak Republic,Europe,SVK,Female,Life expectancy,OECD member,SVK,Slovak Republic,Female,FEMALE,01-01-1971,1971,14.7,,14.7
65 years,Sweden,Europe,SWE,Female,Life expectancy,OECD member,SWE,Sweden,Female,FEMALE,01-01-1971,1971,17.2,,17.2
65 years,Türkiye,Europe,TUR,Female,Life expectancy,OECD member,TUR,Türkiye,Female,FEMALE,01-01-1971,1971,12.6,,12.6
65 years,United States,Other,USA,Female,Life expectancy,OECD member,USA,United States,Female,FEMALE,01-01-1971,1971,16.9,,16.9
65 years,Australia,Other,AUS,Female,Life expectancy,OECD member,AUS,Australia,Female,FEMALE,01-01-1972,1972,16.4,,16.4
65 years,Austria,Europe,AUT,Female,Life expectancy,OECD member,AUT,Austria,Female,FEMALE,01-01-1972,1972,15.4,,15.4
65 years,Belgium,Europe,BEL,Female,Life expectancy,OECD member,BEL,Belgium,Female,FEMALE,01-01-1972,1972,15.7,,15.7
65 years,Switzerland,Europe,CHE,Female,Life expectancy,OECD member,CHE,Switzerland,Female,FEMALE,01-01-1972,1972,16.8,,16.8
65 years,Czechia,Europe,CZE,Female,Life expectancy,OECD member,CZE,Czechia,Female,FEMALE,01-01-1972,1972,14.7,,14.7
65 years,Germany,Europe,DEU,Female,Life expectancy,OECD member,DEU,Germany,Female,FEMALE,01-01-1972,1972,15.2,,15.2
65 years,Denmark,Europe,DNK,Female,Life expectancy,OECD member,DNK,Denmark,Female,FEMALE,01-01-1972,1972,16.8,,16.8
65 years,Estonia,Europe,EST,Female,Life expectancy,OECD member,EST,Estonia,Female,FEMALE,01-01-1972,1972,15.7,,15.7
65 years,Finland,Europe,FIN,Female,Life expectancy,OECD member,FIN,Finland,Female,FEMALE,01-01-1972,1972,14.8,,14.8
65 years,France,Europe,FRA,Female,Life expectancy,OECD member,FRA,France,Female,FEMALE,01-01-1972,1972,17.0,,17.0
65 years,Greece,Europe,GRC,Female,Life expectancy,OECD member,GRC,Greece,Female,FEMALE,01-01-1972,1972,16.7,,16.7
65 years,Hungary,Europe,HUN,Female,Life expectancy,OECD member,HUN,Hungary,Female,FEMALE,01-01-1972,1972,14.9,,14.9
65 years,Iceland,Europe,ISL,Female,Life expectancy,OECD member,ISL,Iceland,Female,FEMALE,01-01-1972,1972,17.5,,17.5
65 years,Japan,Other,JPN,Female,Life expectancy,OECD member,JPN,Japan,Female,FEMALE,01-01-1972,1972,16.2,,16.2
65 years,Korea,Other,KOR,Female,Life expectancy,OECD member,KOR,Korea,Female,FEMALE,01-01-1972,1972,15.0,,15.0
65 years,Lithuania,Europe,LTU,Female,Life expectancy,OECD member,LTU,Lithuania,Female,FEMALE,01-01-1972,1972,16.5,,16.5
65 years,Luxembourg,Europe,LUX,Female,Life expectancy,OECD member,LUX,Luxembourg,Female,FEMALE,01-01-1972,1972,15.3,,15.3
65 years,Mexico,Other,MEX,Female,Life expectancy,OECD member,MEX,Mexico,Female,FEMALE,01-01-1972,1972,16.2,,16.2
65 years,Netherlands,Europe,NLD,Female,Life expectancy,OECD member,NLD,Netherlands,Female,FEMALE,01-01-1972,1972,16.2,,16.2
65 years,Norway,Europe,NOR,Female,Life expectancy,OECD member,NOR,Norway,Female,FEMALE,01-01-1972,1972,16.9,,16.9
65 years,New Zealand,Other,NZL,Female,Life expectancy,OECD member,NZL,New Zealand,Female,FEMALE,01-01-1972,1972,16.1,,16.1
65 years,Poland,Europe,POL,Female,Life expectancy,OECD member,POL,Poland,Female,FEMALE,01-01-1972,1972,15.6,,15.6
65 years,Portugal,Europe,PRT,Female,Life expectancy,OECD member,PRT,Portugal,Female,FEMALE,01-01-1972,1972,14.5,,14.5
65 years,Slovak Republic,Europe,SVK,Female,Life expectancy,OECD member,SVK,Slovak Republic,Female,FEMALE,01-01-1972,1972,15.3,,15.3
65 years,Sweden,Europe,SWE,Female,Life expectancy,OECD member,SWE,Sweden,Female,FEMALE,01-01-1972,1972,17.2,,17.2
65 years,Türkiye,Europe,TUR,Female,Life expectancy,OECD member,TUR,Türkiye,Female,FEMALE,01-01-1972,1972,12.6,,12.6
65 years,United States,Other,USA,Female,Life expectancy,OECD member,USA,United States,Female,FEMALE,01-01-1972,1972,17.0,,17.0
65 years,Australia,Other,AUS,Female,Life expectancy,OECD member,AUS,Australia,Female,FEMALE,01-01-1973,1973,16.6,,16.6
65 years,Austria,Europe,AUT,Female,Life expectancy,OECD member,AUT,Austria,Female,FEMALE,01-01-1973,1973,15.7,,15.7
65 years,Belgium,Europe,BEL,Female,Life expectancy,OECD member,BEL,Belgium,Female,FEMALE,01-01-1973,1973,15.7,,15.7
65 years,Switzerland,Europe,CHE,Female,Life expectancy,OECD member,CHE,Switzerland,Female,FEMALE,01-01-1973,1973,16.8,,16.8
65 years,Czechia,Europe,CZE,Female,Life expectancy,OECD member,CZE,Czechia,Female,FEMALE,01-01-1973,1973,14.5,,14.5
65 years,Germany,Europe,DEU,Female,Life expectancy,OECD member,DEU,Germany,Female,FEMALE,01-01-1973,1973,15.4,,15.4
65 years,Denmark,Europe,DNK,Female,Life expectancy,OECD member,DNK,Denmark,Female,FEMALE,01-01-1973,1973,16.8,,16.8
65 years,Estonia,Europe,EST,Female,Life expectancy,OECD member,EST,Estonia,Female,FEMALE,01-01-1973,1973,15.8,,15.8
65 years,Finland,Europe,FIN,Female,Life expectancy,OECD member,FIN,Finland,Female,FEMALE,01-01-1973,1973,15.2,,15.2
65 years,France,Europe,FRA,Female,Life expectancy,OECD member,FRA,France,Female,FEMALE,01-01-1973,1973,17.0,,17.0
65 years,Greece,Europe,GRC,Female,Life expectancy,OECD member,GRC,Greece,Female,FEMALE,01-01-1973,1973,16.8,,16.8
65 years,Hungary,Europe,HUN,Female,Life expectancy,OECD member,HUN,Hungary,Female,FEMALE,01-01-1973,1973,14.7,,14.7
65 years,Iceland,Europe,ISL,Female,Life expectancy,OECD member,ISL,Iceland,Female,FEMALE,01-01-1973,1973,17.8,,17.8
65 years,Japan,Other,JPN,Female,Life expectancy,OECD member,JPN,Japan,Female,FEMALE,01-01-1973,1973,16.1,,16.1
65 years,Korea,Other,KOR,Female,Life expectancy,OECD member,KOR,Korea,Female,FEMALE,01-01-1973,1973,15.1,,15.1
65 years,Lithuania,Europe,LTU,Female,Life expectancy,OECD member,LTU,Lithuania,Female,FEMALE,01-01-1973,1973,16.8,,16.8
65 years,Luxembourg,Europe,LUX,Female,Life expectancy,OECD member,LUX,Luxembourg,Female,FEMALE,01-01-1973,1973,15.6,,15.6
65 years,Mexico,Other,MEX,Female,Life expectancy,OECD member,MEX,Mexico,Female,FEMALE,01-01-1973,1973,16.3,,16.3
65 years,Netherlands,Europe,NLD,Female,Life expectancy,OECD member,NLD,Netherlands,Female,FEMALE,01-01-1973,1973,16.6,,16.6
65 years,Norway,Europe,NOR,Female,Life expectancy,OECD member,NOR,Norway,Female,FEMALE,01-01-1973,1973,17.1,,17.1
65 years,New Zealand,Other,NZL,Female,Life expectancy,OECD member,NZL,New Zealand,Female,FEMALE,01-01-1973,1973,16.2,,16.2
65 years,Poland,Europe,POL,Female,Life expectancy,OECD member,POL,Poland,Female,FEMALE,01-01-1973,1973,15.6,,15.6
65 years,Portugal,Europe,PRT,Female,Life expectancy,OECD member,PRT,Portugal,Female,FEMALE,01-01-1973,1973,14.1,,14.1
65 years,Slovak Republic,Europe,SVK,Female,Life expectancy,OECD member,SVK,Slovak Republic,Female,FEMALE,01-01-1973,1973,15.0,,15.0
